Weight Bits,Activation Bits,Gradient Bits,Data Structure,Energy,Time,Power
5,6,8,PB-BMP,2.25122017615552,265.229008936945,100.31382461844
5,7,8,PB-BMP,2.32676566759449,269.13503490308,106.14451233204
5,8,8,PB-BMP,2.35421278449217,274.805477064006,112.95066737844
4,12,8,PB-BMP,2.53910313055082,282.789332972481,127.69816322016
5,10,8,PB-BMP,2.4773414576651,279.779687055824,124.59522917844
5,12,8,PB-BMP,2.56199929759974,283.989856095389,134.91770874084
5,7,8,PB-CSR,1.91246536826155,174.809280059859,231.91082268084
5,6,8,PB-CSR,1.85762871045452,172.207673526255,226.08013496724
5,8,8,PB-CSR,1.94799957586405,178.535478944479,238.71697772724
5,10,8,PB-CSR,2.02309664095747,182.19325357926,250.36153952724
5,12,8,PB-CSR,2.07014399640319,185.090732023701,260.68401908964
2,8,9,PB-BMP,2.29968238044881,272.402779902434,94.36462452504
2,8,11,PB-BMP,2.37364467216928,276.051100825393,99.51745386024
2,8,10,PB-BMP,2.35085208446516,274.50164262825,97.03494995544
3,8,9,PB-BMP,2.33112201114233,274.150073725464,100.48417530264
2,8,12,PB-BMP,2.3847922893197,279.082499392189,102.43017282564
3,8,10,PB-BMP,2.3822917363311,276.25202602312,103.15450073304
3,8,11,PB-BMP,2.40508431341192,277.799939434343,105.63700463784
4,8,9,PB-BMP,2.34454759445791,276.583860552421,108.59780848536
3,8,12,PB-BMP,2.4162319307425,280.83133800114,108.54972360324
2,8,9,PB-CSR,1.83089863333516,176.915215954856,222.93784192644
2,8,10,PB-CSR,1.85736320634104,178.40250763115,225.60816735684
2,8,11,PB-CSR,1.87266536324105,179.240763617981,228.09067126164
4,8,10,PB-BMP,2.39571730902339,278.684268064157,111.26813391576
4,8,12,PB-BMP,2.42965750371988,283.263585684417,116.66335678596
2,8,12,PB-CSR,1.88291920037351,181.241841569145,231.00339022704
3,8,10,PB-CSR,1.89985353327732,179.72570539403,231.89575122504
3,8,11,PB-CSR,1.9151555951729,180.550058307581,234.37825512984
3,8,12,PB-CSR,1.92540943248551,182.551136258745,237.29097409524
5,8,9,PB-BMP,2.36744450685303,277.85805990189,115.81735400604
4,8,9,PB-CSR,1.91798564895306,179.119095551665,234.91303685316
4,8,11,PB-BMP,2.41850988628436,280.232181475381,113.75063782056
5,8,11,PB-BMP,2.44140679896457,281.506386467089,120.97018334124
3,8,9,PB-CSR,1.87338877033673,178.210607571176,229.22542579464
5,8,10,PB-BMP,2.41861422159866,279.958467413626,118.48767943644
4,8,10,PB-CSR,1.94445031688921,180.620290301239,237.58336228356
4,8,11,PB-CSR,1.95975237896493,181.44464321479,240.06586618836
4,8,12,PB-CSR,1.97000621638249,183.445726808194,242.97858515376
5,8,11,PB-CSR,1.99954863794228,182.512170837021,246.73649369004
5,8,12,PB-CSR,2.00979576549065,183.850162749145,249.64921265544
5,8,9,PB-CSR,1.95778190764532,180.186617531656,241.58366435484
5,8,10,PB-CSR,1.98424657576162,181.68781228123,244.25398978524
3,7,8,PB-BMP,2.29044271549355,265.343103090815,90.81133362864
2,7,8,PB-BMP,2.25900253867174,263.483001823304,84.69178285104
3,6,8,PB-BMP,2.21489715557425,261.411301488199,84.98064591504
3,8,8,PB-BMP,2.3178902993306,271.0990356735,97.61748867504
4,6,8,PB-BMP,2.22832278619773,263.867774379796,93.09427909776
3,10,8,PB-BMP,2.44101897239754,276.073245665318,109.26205047504
3,12,8,PB-BMP,2.52567755757344,280.357085289204,119.58453003744
4,7,8,PB-BMP,2.3038687657485,267.862380339532,98.92496681136
2,10,8,PB-BMP,2.40957884288363,274.235830462448,103.14249969744
2,8,8,PB-BMP,2.28644970287733,269.17613004887,91.49793789744
2,6,8,PB-BMP,2.18345718626993,259.593586962449,78.86109513744
4,10,8,PB-BMP,2.45444454508982,278.505487706356,117.37568365776
5,8,12,PB-BMP,2.4525536707688,284.464108807325,123.88290230664
4,8,8,PB-BMP,2.33131586147376,273.529732928618,105.73112185776
2,12,8,PB-BMP,2.49423743850268,278.521214872254,113.46497925984
4,6,8,PB-CSR,1.81783192146138,171.045392408984,219.40950746556
3,6,8,PB-CSR,1.77323513265652,170.134300580816,213.72189640704
3,7,8,PB-CSR,1.8280718905868,172.766317108659,219.55258412064
4,7,8,PB-CSR,1.87266909902313,173.740213293948,225.24019517916
3,10,8,PB-CSR,1.93870359847317,180.23114669206,238.00330096704
3,8,8,PB-CSR,1.86360653348574,176.573372057279,226.35873916704
2,7,8,PB-CSR,1.78558112307579,171.345759760499,213.26500025244
3,12,8,PB-CSR,1.98575393574937,183.4233244005,248.32578052944
4,10,8,PB-CSR,1.98330032934684,181.118007669669,243.69091202556
4,12,8,PB-CSR,2.03035066690812,184.310191020349,254.01339158796
2,8,8,PB-CSR,1.82111534634326,175.090010351999,220.07115529884
4,8,8,PB-CSR,1.90820322216735,177.454053891208,232.04635022556
2,12,8,PB-CSR,1.9432632259894,182.0269979029,242.03819666124
2,10,8,PB-CSR,1.89621284662713,178.82864105078,231.71571709884